date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,,,*Note: the day listed is the day that the night starts in
1-Jul,1,1,1,P12A,"Note: this folder has unnamed (as in no BG or Dark) pictures in addition to the BG, Dark, P12A, etc",,,,Ex: Jan01-02 is listed 1-Jan
2-Jul,1,1,1,P12A,,,,,
3-Jul,1,1,1,P12A,,,,,
5-Jul,1,1,1,P12A,,,,,
9-Jul,1,1,1,P12A,,,,,
10-Jul,1,1,1,P12A,,,,,
11-Jul,1,1,1,P12A,,,,,
12-Jul,1,1,1,P12A,,,,,
13-Jul,1,0,0,,,,,,
25-Jul,1,0,0,,,,,,
26-Jul,1,1,1,P12A,,,,,
27-Jul,1,1,1,P12A,,,,,
28-Jul,1,1,1,P12A,,,,,
29-Jul,1,1,1,P12A,,,,,
30-Jul,1,1,1,P12A,,,,,
31-Jul,1,1,1,P12A,"Note: this folder has unnamed (as in no BG or Dark) pictures in addition to the BG, Dark, P12A, etc",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
