date ,sr count,sr percent,ff count,ff percent,caun count,caun percent
Aug_2009,20.0,100.0,0.0,0.0,0.0,0.0
Sep_2009,22.0,100.0,0.0,0.0,0.0,0.0
Oct_2009,23.0,100.0,0.0,0.0,0.0,0.0
Nov_2009,22.0,95.65217391304348,0.0,0.0,0.0,0.0
Dec_2009,24.0,100.0,0.0,0.0,0.0,0.0
Jan_2010,25.0,100.0,0.0,0.0,0.0,0.0
Feb_2010,23.0,100.0,0.0,0.0,0.0,0.0
Mar_2010,24.0,100.0,0.0,0.0,0.0,0.0
Apr_2010,24.0,100.0,0.0,0.0,0.0,0.0
May_2010,24.0,96.0,0.0,0.0,0.0,0.0
Jun_2010,15.0,100.0,1.0,6.666666666666667,1.0,6.666666666666667
Jul_2010,25.0,100.0,0.0,0.0,0.0,0.0
Aug_2010,23.0,100.0,0.0,0.0,0.0,0.0
Sep_2010,23.0,100.0,0.0,0.0,0.0,0.0
Oct_2010,24.0,100.0,0.0,0.0,0.0,0.0
Nov_2010,24.0,100.0,0.0,0.0,0.0,0.0
Dec_2010,25.0,100.0,0.0,0.0,0.0,0.0
Jan_2011,25.0,100.0,0.0,0.0,0.0,0.0
Feb_2011,23.0,100.0,0.0,0.0,0.0,0.0
Mar_2011,26.0,100.0,0.0,0.0,0.0,0.0
Apr_2011,19.0,100.0,0.0,0.0,0.0,0.0
May_2011,26.0,100.0,0.0,0.0,0.0,0.0
Jun_2011,22.0,100.0,1.0,4.545454545454546,1.0,4.545454545454546
Jul_2011,25.0,100.0,0.0,0.0,0.0,0.0
Aug_2011,25.0,100.0,0.0,0.0,0.0,0.0
Sep_2011,23.0,100.0,0.0,0.0,0.0,0.0
Oct_2011,22.0,100.0,0.0,0.0,0.0,0.0
Nov_2011,23.0,100.0,0.0,0.0,0.0,0.0
Dec_2011,24.0,100.0,0.0,0.0,0.0,0.0
Jan_2012,25.0,100.0,0.0,0.0,0.0,0.0
Feb_2012,14.0,100.0,0.0,0.0,0.0,0.0
Mar_2012,25.0,100.0,0.0,0.0,0.0,0.0
Apr_2012,25.0,100.0,0.0,0.0,0.0,0.0
May_2012,26.0,100.0,0.0,0.0,0.0,0.0
Jun_2012,25.0,100.0,17.0,68.0,17.0,68.0
Jul_2012,22.0,100.0,22.0,100.0,22.0,100.0
Aug_2012,19.0,100.0,0.0,0.0,0.0,0.0
Sep_2012,23.0,100.0,0.0,0.0,0.0,0.0
Oct_2012,20.0,100.0,0.0,0.0,0.0,0.0
Nov_2012,23.0,100.0,0.0,0.0,0.0,0.0
Dec_2012,23.0,100.0,0.0,0.0,0.0,0.0
Jan_2013,25.0,100.0,0.0,0.0,0.0,0.0
Feb_2013,22.0,100.0,0.0,0.0,0.0,0.0
Mar_2013,12.0,100.0,0.0,0.0,0.0,0.0
Apr_2013,20.0,100.0,0.0,0.0,0.0,0.0
May_2013,20.0,100.0,15.0,75.0,15.0,75.0
Jun_2013,25.0,100.0,11.0,44.0,11.0,44.0
Jul_2013,16.0,100.0,14.0,87.5,14.0,87.5
Aug_2013,25.0,100.0,14.0,56.00000000000001,14.0,56.00000000000001
Sep_2013,25.0,100.0,0.0,0.0,0.0,0.0
Oct_2013,22.0,100.0,0.0,0.0,0.0,0.0
Nov_2013,23.0,100.0,0.0,0.0,0.0,0.0
Dec_2013,23.0,100.0,0.0,0.0,0.0,0.0
Jan_2014,22.0,91.66666666666666,0.0,0.0,0.0,0.0
Feb_2014,19.0,86.36363636363636,0.0,0.0,0.0,0.0
Mar_2014,21.0,100.0,0.0,0.0,0.0,0.0
Apr_2014,21.0,100.0,0.0,0.0,0.0,0.0
May_2014,21.0,95.45454545454545,0.0,0.0,0.0,0.0
Jun_2014,24.0,100.0,24.0,100.0,24.0,100.0
Jul_2014,26.0,100.0,26.0,100.0,26.0,100.0
Aug_2014,26.0,100.0,26.0,100.0,26.0,100.0
Sep_2014,24.0,100.0,10.0,41.66666666666667,10.0,41.66666666666667
Oct_2014,24.0,100.0,0.0,0.0,0.0,0.0
Nov_2014,24.0,100.0,0.0,0.0,0.0,0.0
Dec_2014,25.0,100.0,0.0,0.0,0.0,0.0
Jan_2015,24.0,100.0,1.0,4.166666666666666,0.0,0.0
Feb_2015,15.0,100.0,0.0,0.0,0.0,0.0
Mar_2015,17.0,94.44444444444444,0.0,0.0,0.0,0.0
Apr_2015,16.0,100.0,0.0,0.0,0.0,0.0
Jul_2015,18.0,100.0,1.0,5.555555555555555,0.0,0.0
Aug_2015,6.0,100.0,0.0,0.0,0.0,0.0
Sep_2015,17.0,100.0,0.0,0.0,0.0,0.0
Oct_2015,26.0,100.0,0.0,0.0,0.0,0.0
Nov_2015,21.0,100.0,0.0,0.0,0.0,0.0
Dec_2015,17.0,100.0,0.0,0.0,0.0,0.0
Jan_2016,18.0,100.0,0.0,0.0,0.0,0.0
Feb_2016,22.0,100.0,0.0,0.0,0.0,0.0
Mar_2016,24.0,100.0,0.0,0.0,0.0,0.0
Apr_2016,23.0,100.0,0.0,0.0,0.0,0.0
May_2016,25.0,100.0,1.0,4.0,0.0,0.0
Jun_2016,16.0,94.11764705882352,11.0,64.70588235294117,11.0,64.70588235294117
Jul_2016,23.0,100.0,12.0,52.17391304347826,12.0,52.17391304347826
Aug_2016,25.0,100.0,8.0,32.0,8.0,32.0
Sep_2016,25.0,100.0,0.0,0.0,0.0,0.0
Oct_2016,26.0,100.0,0.0,0.0,0.0,0.0
Nov_2016,22.0,100.0,0.0,0.0,0.0,0.0
Dec_2016,25.0,100.0,0.0,0.0,0.0,0.0
Jan_2017,26.0,100.0,0.0,0.0,0.0,0.0
Feb_2017,22.0,100.0,0.0,0.0,0.0,0.0
Mar_2017,24.0,96.0,0.0,0.0,0.0,0.0
Apr_2017,12.0,100.0,0.0,0.0,0.0,0.0
May_2017,17.0,100.0,13.0,76.47058823529412,13.0,76.47058823529412
Jun_2017,16.0,88.88888888888889,11.0,61.111111111111114,11.0,61.111111111111114
Jul_2017,25.0,100.0,20.0,80.0,20.0,80.0
Aug_2017,22.0,100.0,7.0,31.818181818181817,7.0,31.818181818181817
Sep_2017,23.0,100.0,0.0,0.0,0.0,0.0
Oct_2017,25.0,100.0,0.0,0.0,0.0,0.0
Nov_2017,23.0,100.0,0.0,0.0,0.0,0.0
Dec_2017,25.0,100.0,0.0,0.0,0.0,0.0
Jan_2018,21.0,100.0,0.0,0.0,0.0,0.0
Feb_2018,20.0,100.0,0.0,0.0,0.0,0.0
Mar_2018,20.0,100.0,0.0,0.0,0.0,0.0
Apr_2018,23.0,100.0,0.0,0.0,0.0,0.0
May_2018,12.0,100.0,1.0,8.333333333333332,0.0,0.0
Jun_2018,9.0,100.0,0.0,0.0,0.0,0.0
Jul_2018,10.0,100.0,1.0,10.0,1.0,10.0
Aug_2018,9.0,100.0,1.0,11.11111111111111,0.0,0.0
Sep_2018,24.0,100.0,0.0,0.0,0.0,0.0
Oct_2018,24.0,96.0,0.0,0.0,0.0,0.0
Nov_2018,24.0,100.0,1.0,4.166666666666666,0.0,0.0
Dec_2018,26.0,100.0,1.0,3.8461538461538463,0.0,0.0
Jan_2019,25.0,100.0,1.0,4.0,0.0,0.0
Feb_2019,23.0,100.0,1.0,4.3478260869565215,0.0,0.0
Mar_2019,24.0,100.0,0.0,0.0,0.0,0.0
Apr_2019,23.0,100.0,0.0,0.0,0.0,0.0
May_2019,2.0,100.0,0.0,0.0,0.0,0.0
Jun_2019,18.0,100.0,3.0,16.666666666666664,0.0,0.0
Jul_2019,25.0,100.0,5.0,20.0,0.0,0.0
Aug_2019,24.0,100.0,0.0,0.0,0.0,0.0
Sep_2019,23.0,100.0,0.0,0.0,0.0,0.0
Oct_2019,25.0,100.0,1.0,4.0,0.0,0.0
Nov_2019,22.0,100.0,0.0,0.0,0.0,0.0
Dec_2019,24.0,96.0,0.0,0.0,0.0,0.0
Jan_2020,25.0,100.0,1.0,4.0,0.0,0.0
Feb_2020,22.0,100.0,0.0,0.0,0.0,0.0
Mar_2020,26.0,100.0,1.0,3.8461538461538463,1.0,3.8461538461538463
Apr_2020,24.0,96.0,3.0,12.0,3.0,12.0
May_2020,26.0,100.0,3.0,11.538461538461538,3.0,11.538461538461538
Jun_2020,24.0,100.0,0.0,0.0,0.0,0.0
Jul_2020,25.0,100.0,0.0,0.0,0.0,0.0
Aug_2020,23.0,100.0,0.0,0.0,0.0,0.0
Sep_2020,23.0,100.0,0.0,0.0,0.0,0.0
Oct_2020,23.0,100.0,0.0,0.0,0.0,0.0
Nov_2020,18.0,100.0,0.0,0.0,0.0,0.0
Dec_2020,23.0,100.0,0.0,0.0,0.0,0.0
Jan_2021,24.0,100.0,0.0,0.0,0.0,0.0
Feb_2021,23.0,100.0,0.0,0.0,0.0,0.0
Mar_2021,25.0,100.0,0.0,0.0,0.0,0.0
Apr_2021,13.0,100.0,0.0,0.0,0.0,0.0
May_2021,26.0,100.0,0.0,0.0,0.0,0.0
Jun_2021,15.0,62.5,0.0,0.0,0.0,0.0
Jul_2021,0.0,0.0,0.0,0.0,0.0,0.0
Aug_2021,0.0,0.0,0.0,0.0,0.0,0.0
Sep_2021,0.0,0.0,0.0,0.0,0.0,0.0
Oct_2021,0.0,0.0,0.0,0.0,0.0,0.0
Nov_2021,0.0,0.0,0.0,0.0,0.0,0.0
Dec_2021,0.0,0.0,0.0,0.0,0.0,0.0
